,TimeEnding,Intensity_Index,Energy,Total_Emissions,SETTLEMENTDATE,METEREDMWFLOW,MWFLOW,INTERCONNECTORID,SETTLEMENTDATE,METEREDMWFLOW.1,MWFLOW,MWLOSSES,New_Energy_N_Q,New_Emissions_N_Q,New_Energy_V_N,New_Emissions_V_N,New_Intensity_Index
1865,2022-03-19 17:00:00,0.7298527716666667,7120.0506067999995,5201.6487341,2022-03-19 17:00:00,-393.1333333333333,-352.6458333333333,VIC1-NSW1,2022-03-19 17:00:00,364.75,379.14,-2.615,393.1333333333333,277.56874639649135,364.75,267.035850470528,0.7294112104308614
1866,2022-03-19 18:00:00,0.8044872290833333,7216.7735542,5805.8412076,2022-03-19 18:00:00,-51.995,-38.721666666666664,VIC1-NSW1,2022-03-19 18:00:00,754.5366666666667,748.4941666666667,12.8675,51.995,38.19951705142263,754.5366666666667,566.9636690588854,0.7990478010280406
1867,2022-03-19 19:00:00,0.7960503345833333,7203.4246466,5734.528441,2022-03-19 19:00:00,-148.55749999999998,-167.48833333333332,VIC1-NSW1,2022-03-19 19:00:00,484.75666666666666,459.88000000000005,-1.2033333333333334,148.55749999999998,108.38920719371609,484.75666666666666,379.48597596748624,0.794004211755458
1868,2022-03-19 20:00:00,0.7769394245,6997.2908585000005,5436.6150904999995,2022-03-19 20:00:00,-269.21666666666664,-302.3908333333333,VIC1-NSW1,2022-03-19 20:00:00,259.28583333333336,240.16083333333336,-3.5025,269.21666666666664,194.99909843212188,259.28583333333336,213.30796437784298,0.7766519587876304
1869,2022-03-19 21:00:00,0.7833018404166667,6531.5238238,5115.8208097,2022-03-19 21:00:00,-391.1558333333333,-405.9158333333333,VIC1-NSW1,2022-03-19 21:00:00,371.1816666666667,385.5016666666667,3.029166666666667,391.1558333333333,285.8054524603695,371.1816666666667,314.0677531288739,0.7836307494137339
1870,2022-03-19 22:00:00,0.7990653210833334,6213.8461572,4964.7289916,2022-03-19 22:00:00,-411.9791666666667,-425.1766666666666,VIC1-NSW1,2022-03-19 22:00:00,547.7141666666666,537.8208333333333,14.3375,411.9791666666667,303.0469427574944,547.7141666666666,474.06049676318145,0.8004188781142105
1871,2022-03-19 23:00:00,0.8137088607499999,6075.4616855,4943.7091388,2022-03-19 23:00:00,-459.5241666666667,-477.49333333333334,VIC1-NSW1,2022-03-19 23:00:00,395.5958333333333,361.2008333333333,4.414166666666667,459.5241666666667,337.8695985083489,395.5958333333333,349.10508253609675,0.81244029366609
1872,2022-03-20 00:00:00,0.8204205969166667,5871.6990272,4816.9506369,2022-03-20 00:00:00,-398.6458333333333,-410.12916666666666,VIC1-NSW1,2022-03-20 00:00:00,346.05583333333334,355.3641666666667,4.650833333333334,398.6458333333333,293.5428612770576,346.05583333333334,316.30495888128615,0.8202040215141335
1873,2022-03-20 01:00:00,0.8230673572499999,5411.4834346,4454.0162651,2022-03-20 01:00:00,-413.0333333333333,-421.8425,VIC1-NSW1,2022-03-20 01:00:00,413.6666666666667,406.8566666666666,9.093333333333334,413.0333333333333,306.62350146358364,413.6666666666667,390.5901217041978,0.8257580018722366
1874,2022-03-20 02:00:00,0.8307820213333333,5063.6249233,4206.4070118,2022-03-20 02:00:00,-512.88,-517.6283333333333,VIC1-NSW1,2022-03-20 02:00:00,429.1541666666667,429.04833333333335,13.159999999999998,512.88,380.7545604781787,429.1541666666667,420.7257708904651,0.8338614077404183
