,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,,RE factor,EI_market,EI_MEF,EI_AEF,EI_L,EI_MEF-EI_Market,EI_AEF-EI_L,,,,,,
38,TAS1,Cell 20,2023,3.575432808,48821722.78,60,0.865833833,5352.354113,13.81288995,3.335870425,4.580285591,2.733043432,12083012.8,-47995203.49,1.95E-10,26889.09244,AA,0,0,11452.42086,0,16581.7344,2196.847661,Pipeline,998.1396511,16827,1380670.1,1576800,1894.210634,0,0.6,0,1,,0.690664836,0.350580963,0.084666762,0.116250903,0.069366585,-0.265914201,0.046884319,,1.773689541,3.335870425,0.045017501,,
39,TAS1,Cell 20,2023,3.576405311,52900313.57,60,0.83394803,5352.354113,9.77117117,2.211848357,3.881271718,2.046236385,14954650.11,-41842196.2,1.50E-09,19021.21321,AA,0,0,13361.15767,0,16581.7344,2216.391789,Pipeline,998.1231006,16827,879349.781,1576800,1923.315257,0,0.7,0,1,,0.805775642,0.247999268,0.056138283,0.098509434,0.051934934,-0.191860985,0.046574501,,0.797745828,2.211848357,0.020247356,,
40,TAS1,Cell 20,2023,3.578258142,56979045.23,60,0.797494513,5352.354113,5.689724329,1.099513165,3.184242975,1.359429338,18237655.98,-36100557.48,2.63E-10,11075.99669,AA,0,0,15269.89448,0,16581.7344,2236.077978,Pipeline,998.1064298,16827,379996.7201,1576800,1952.561942,0,0.8,0,1,,0.920886448,0.144409247,0.027906426,0.08081835,0.034503283,-0.116502821,0.046315067,,-0.215116177,1.099513165,-0.005459801,,
41,TAS1,Cell 20,2023,3.581770294,61121682.03,60,0.753859195,5352.354113,1.545813198,-0.059052837,2.513811067,0.672622291,22167455.21,-31005712.11,2.45E-10,3009.183025,AA,0,0,17178.63129,0,16581.7344,2319.918544,Pipeline,998.0354314,16827,-122760.1579,1576800,2045.963003,0,0.9,0,1,,1.035997254,0.039233838,-0.001498803,0.063802311,0.017071632,-0.040732641,0.04673068,,-1.286024688,-0.059052837,-0.032640221,,
42,TAS1,Cell 20,2023,3.587132887,65202575.18,60,0.705809158,5352.354113,-2.586909754,-1.196982198,1.858413428,-0.005137946,26494844.4,-26427331.79,-118875.0853,-5035.850987,AA,0,0,19087.3681,0,16581.7344,2341.778288,Pipeline,998.0169199,16874,-614448.7812,1576800,1981.778288,0,1,0,1,,1.15110806,-0.065657608,-0.030380259,0.047167853,-0.000130405,0.035277349,0.047298258,,-2.383154229,-1.196982198,-0.060486148,,
43,TAS1,Cell 20,2023,3.60673097,69259923.64,60,0.635652946,5352.354113,-6.548351784,-2.263349708,1.26182208,-0.616568835,32813116.9,-24711402.42,-1109317.809,-12747.45814,AA,0,0,20996.10491,0,16581.7344,2340,Pipeline,998.0184258,18561,-1071439.769,1576800,1980,0,1.1,0,1,,1.266218866,-0.166201822,-0.057445424,0.032025941,-0.015648955,0.108756398,0.047674896,,-3.589591782,-2.263349708,-0.09110639,,
44,TAS1,Cell 20,2023,3.627535651,73320814.58,60,0.562655407,5352.354113,-10.52848581,-3.31975559,0.66286248,-1.226901259,39387279.58,-23265797.04,-2114194.354,-20495.45238,AA,0,0,22904.84173,0,16581.7344,2341.778288,Pipeline,998.0169199,20248,-1526108.691,1576800,1981.778288,0,1.2,0,1,,1.381329671,-0.267220452,-0.084257756,0.016823921,-0.031139626,0.182962696,0.047963547,,-4.817845496,-3.31975559,-0.122280343,,
45,TAS1,Cell 20,2023,3.64923291,77378085.6,60,0.48766688,5352.354113,-14.52376366,-4.373183165,0.062886308,-1.836837231,46140750.69,-22004709.48,-3124280.277,-28272.9266,AA,0,0,24813.57854,0,16581.7344,2339.922252,Pipeline,998.0184917,21936,-1978362.48,1576800,1979.922252,0,1.3,0,1,,1.496440477,-0.368623443,-0.110994497,0.001596099,-0.046620234,0.257628946,0.048216333,,-6.061776663,-4.373183165,-0.1538522,,
46,TAS1,Cell 20,2023,3.671584695,81439053.98,60,0.411293109,5352.354113,-18.52857226,-5.421182632,-0.535639699,-2.446313886,53018976.92,-20874412.46,-4140401.626,-36068.95401,AA,0,0,26722.31535,0,16581.7344,2341.778288,Pipeline,998.0169199,23623,-2429555.093,1576800,1981.778288,0,1.4,0,1,,1.611551283,-0.470268332,-0.137593468,-0.013594916,-0.062089185,0.332674864,0.048494269,,-7.316423654,-5.421182632,-0.185696032,,
47,TAS1,Cell 20,2023,3.69446952,85491481.14,60,0.333590904,5352.354113,-22.54089439,-6.465686093,-1.133033143,-3.055053334,60016841.98,-19873441.17,-5166209.876,-43879.60775,AA,0,0,28631.05216,0,16581.7344,2335.059136,Pipeline,998.0226099,25310,-2878592.493,1576800,1975.059136,0,1.5,0,1,,1.726662089,-0.572103919,-0.164103708,-0.028757186,-0.077539425,0.408000211,0.048782238,,-8.581036705,-6.465686093,-0.21779281,,
