,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval
21,SA1,Cell 266,2022,4.255162044801186,65337695.20533368,60,0.8746470798470943,5446.041427475966,16.565624065997625,11.820840151072774,4.132589620590892,6.7121166125681455,11319134.468133274,-53653796.366923615,-1.1521095188982144e-10,32247.748181808707,AA,0,0,9378.78761366626,6811.970160976075,16296.48166794362,120000.00000000004,Lined Rock,135.20962596339754,16582.0,1017386.2834116269,1576800.0,36598.90895987912,0,0.5,0,1
22,SA1,Cell 266,2022,4.036131030617809,70781990.45836915,60,0.8484787153150152,5446.041427475943,12.335645303160696,9.552803953790205,2.95646903153322,5.191031799536408,13681923.396463728,-46422799.16249985,-1.7564971699357557e-10,24013.389523486152,AA,0,0,11254.545136399514,8174.364193171291,16296.48166794362,120000.00000000004,Lined Rock,135.20962596339754,16582.0,-154464.71574058867,1576800.0,37066.95124382475,0,0.6000000000000001,0,1
23,SA1,Cell 266,2022,3.8193433249630515,76226285.71140462,60,0.8205902265471793,5446.041427475956,8.253355669778387,7.326800766488106,1.804491745769048,3.731897699216932,16203093.969794152,-39740919.13829566,-373353.1998567248,16066.532370501922,AA,0,0,13130.302659132765,9536.758225366506,16296.48166794362,120000.0,Lined Rock,135.20962596339757,18944.0,-1321262.5021957648,1576800.0,36680.48022312447,0,0.7000000000000001,0,1
24,SA1,Cell 266,2022,3.6054489870577817,81670580.96444008,60,0.7897327438514966,5446.041427475935,4.324030485019091,5.115726842929658,0.6732747908221588,2.340766396616011,18992891.61889801,-33756573.43563445,-1177847.1362457331,8417.446010837164,AA,0,0,15006.060181866016,10899.15225756172,16296.48166794362,120000.0,Lined Rock,135.20962596339754,21650.0,-2481542.7711260933,1576800.0,36927.1649849076,0,0.8,0,1
25,SA1,Cell 266,2022,3.394187061669197,87114876.21747553,60,0.7562843727782259,5446.041427475947,0.5146080876846594,2.932487823716848,-0.43999754555764575,1.0038112198923874,22016994.402683493,-28348232.52878854,-2326613.255535953,1001.7704106928036,AA,0,0,16881.817704599267,12261.546289756936,16296.48166794362,120000.0,Lined Rock,135.20962596339754,24356.0,-3635893.3428331236,1576800.0,36821.61476374399,0,0.9,0,1
26,SA1,Cell 266,2022,3.1854005928632385,92559171.47051099,60,0.7195764768520138,5446.041427475946,-3.2045957201623883,0.7737143569306046,-1.5370114982992833,-0.28801431913973946,25336328.56742507,-23519764.653746657,-3760149.737572922,-6238.2796685827825,AA,0,0,18757.57522733252,13623.94032195215,16296.48166794362,120000.0000000001,Lined Rock,135.20962596339749,27062.0,-4784667.771769458,1576800.0,36886.872591620435,0,1.0,0,1
27,SA1,Cell 266,2022,2.984888678457417,98003466.72354648,60,0.6671407915212101,5446.041427475941,-6.8674920497956,-1.342541248149188,-2.6149327476881328,-1.5061386533700476,30080369.535810396,-20580851.821274582,-5650467.316434314,-13368.717856935435,AA,0,0,20633.332750065772,14986.334354147366,16296.48166794362,120000.0,Lined Rock,135.20962596339757,29768.0,-5914803.17587989,1576800.0,36882.26983722225,0,1.1,0,1
28,SA1,Cell 266,2022,2.786062896489861,103447761.97658193,60,0.611818361465996,5446.041427475939,-10.50651178306255,-3.4374058608632216,-3.6774709577380866,-2.70573688244213,35081860.93137123,-18016237.266432013,-7671844.170434478,-20452.67627102843,AA,0,0,22509.09027279903,16348.728386342582,16296.48166794362,120000.0,Lined Rock,135.20962596339754,32474.0,-7041140.446235095,1576800.0,36622.88856633386,0,1.2000000000000002,0,1
29,SA1,Cell 266,2022,2.588732742719838,108892057.22961739,60,0.5538456947828998,5446.041427475936,-14.125850331494181,-5.526052096850363,-4.732086466197775,-3.8890332918645187,40323651.20501081,-15794740.426562568,-9795605.657215402,-27498.321978642,AA,0,0,24384.847795532278,17711.122418537794,16296.48166794362,120000.0,Lined Rock,135.2096259633976,35181.0,-8164108.707244771,1576800.0,36549.439045595725,0,1.3,0,1
30,SA1,Cell 266,2022,2.392795814174436,114336352.48265284,60,0.4933389988277541,5446.0414274759305,-17.724485162488204,-7.606072053101296,-5.781537920068834,-5.056018915577155,45795396.68153759,-13906074.177209217,-12021730.34533234,-34503.6644496437,AA,0,0,26260.60531826553,19073.516450733012,16296.48166794362,120000.0,Lined Rock,135.20962596339757,37887.0,-9283938.6289199,1576800.0,36599.92238979738,0,1.4000000000000001,0,1
