,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Capacity factor,Unnamed: 0,wind_capex+wind_OM,pv_capex+pv_OM,hydrogen_storage_capex,electrolyser_capex+electrolyser_OM,wind_OM,pv_OM,electrolyser_OM,grid_electricity_cost,LCOH_sum
251,SA1,Cell 189,2021,5.239520453600952,91207447.81936596,60,1.0,5601.724814665129,-0.0,0.0,0.0,-0.0,0.0,0.0,-7049376.724342688,-0.0,AA,0,0,18233.94366063756,15431.683438186195,15843.569118812566,85553.12563116307,Lined Rock,171.40639195233743,0,0.0,1576800.0,70754.63635720908,0,1,0,1,0.3297815371973118,,,,,,,,,,
252,SA1,Cell 190,2021,5.29691933880183,92244758.30588484,60,1.0,5595.145139647218,-0.0,0.0,0.0,-0.0,0.0,0.0,-7034235.048230927,-0.0,AA,0,0,18255.48424968312,16128.10288329799,15862.200545401483,90417.09947214006,Lined Rock,164.64708661130013,0,0.0,1576800.0,61043.80977060292,0,1,0,1,0.32299783672746063,,,,,,,,,,
253,SA1,Cell 191,2021,5.218119531904484,90836278.6705556,60,1.0,5585.309729362269,-0.0,0.0,0.0,-0.0,0.0,0.0,-6366556.723866395,-0.0,AA,0,0,18287.77812183756,14810.404440330038,15890.132971345476,88086.03813901792,Lined Rock,167.78822598152652,0,0.0,1576800.0,57184.75992508532,0,1,0,1,0.33322030112756,,,,,,,,,,
254,SA1,Cell 223,2021,4.952654577418367,86023555.02040125,60,1.0,5377.598199191085,-0.0,0.0,0.0,-0.0,0.0,0.0,-4051604.87055736,-0.0,AA,0,0,18997.37427512009,8299.968823347486,16503.89467533382,83905.27786907784,Lined Rock,173.8630851710866,0,0.0,1576800.0,70738.4093037629,0,1,0,1,0.39440192762047444,,,,,,,,,,
255,SA1,Cell 224,2021,4.83830279226605,84012760.93802957,60,1.0,5401.278251858309,-0.0,0.0,0.0,-0.0,0.0,0.0,-3039578.5790636493,-0.0,AA,0,0,18913.720793259305,6716.604549552355,16431.539007488307,82902.64669869754,Lined Rock,175.43081613969696,0,0.0,1576800.0,66071.03984932533,0,1,0,1,0.41551869492335025,,,,,,,,,,
256,SA1,Cell 225,2021,4.911151739548615,85378705.63184775,60,1.0,5473.342678439261,-0.0,0.0,0.0,-0.0,0.0,0.0,-3896729.502091082,-0.0,AA,0,0,18663.59527385658,8437.893874024421,16215.194169245427,90557.28317501742,Lined Rock,164.46468838845243,0,0.0,1576800.0,71241.50157849304,0,1,0,1,0.396573485943642,,,,,,,,,,
257,SA1,Cell 226,2021,5.019458023636076,87322951.62694722,60,1.0,5683.312896872348,-0.0,0.0,0.0,-0.0,0.0,0.0,-5386352.415246461,-0.0,AA,0,0,17970.98368772551,12909.433604977978,15616.12318310881,78436.06067959471,Lined Rock,182.80956926809168,0,0.0,1576800.0,56090.7731591448,0,1,0,1,0.3533597966306457,,,,,,,,,,
258,SA1,Cell 227,2021,5.032147496155873,87436194.42284232,60,1.0,5557.770032885344,-0.0,0.0,0.0,-0.0,0.0,0.0,-5196758.605318023,-0.0,AA,0,0,18378.81085324972,12138.03810792975,15968.871284809788,69616.9445782024,Lined Rock,200.1664715821078,0,0.0,1576800.0,60506.41512925871,0,1,0,1,0.35703077040053965,,,,,,,,,,
259,SA1,Cell 263,2021,4.942633413853391,85895916.06075478,60,1.0,5564.931716716083,-0.0,0.0,0.0,-0.0,0.0,0.0,-5274635.844162597,-0.0,AA,0,0,18355.051151192805,10501.862690205477,15948.320447332402,75884.22850655584,Lined Rock,187.3985672638273,0,0.0,1576800.0,63292.55037609,0,1,0,1,0.3778953290287649,,,,,,,,,,
260,SA1,Cell 265,2021,4.911343491443954,85364924.125417,60,1.0,5485.770112448573,-0.0,0.0,0.0,-0.0,0.0,0.0,-4063275.688602157,-0.0,AA,0,0,18621.12574131463,8731.80125621325,16178.460355878564,86444.79624515717,Lined Rock,170.11321519336087,0,0.0,1576800.0,63252.86702851939,0,1,0,1,0.393590410212923,,,,,,,,,,
261,SA1,Cell 266,2021,5.216802032452441,90857274.23499805,60,1.0,5393.155055357793,-0.0,0.0,0.0,-0.0,0.0,0.0,-5260471.358068914,-0.0,AA,0,0,18942.334476173583,11755.88413118918,16456.288271843223,112987.42850054867,Lined Rock,140.82220017412592,0,0.0,1576800.0,69675.67567424882,0,1,0,1,0.35518838422719595,,,,,,,,,,
