,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,RE factor,EI_market,EI_MEF,EI_AEF,EI_L,EI_MEF-EI_market,EI_AEF-EI_L,,,,,
41,TAS1,Cell 20,2021,3.610804293,59337158.74,60,0.769732775,5415.777114,1.688777455,1.384591735,1.472701366,0.673516747,20737879.71,-29587889.77,-10517.84235,3287.486779,AA,0,0,16976.57614,0,16387.54927,1222.642877,Pipeline,998.9646335,16630,157492.269,1576800,933.7116514,0,0.9,0,1,1.035943561,0.042862372,0.035141922,0.037378207,0.017094334,-0.00772045,0.020283873,-1.156791981,1.384591735,0.673516747,-0.029360203,-29587889.77
42,TAS1,Cell 20,2021,3.693840502,63417136.72,60,0.712641156,5415.777114,-2.547450022,-0.096444165,0.928491671,-0.008780005,25879554.22,-25764184.95,-69645.85572,-4959.036043,AA,0,0,18862.86237,0,16387.54927,1291.390912,Pipeline,998.9064159,16675,-158567.4491,1576800,939.8585416,0,1,0,1,1.1510484,-0.064656092,-0.002447821,0.023565778,-0.000222843,0.06220827,0.023788621,-2.331743663,-0.096444165,-0.008780005,-0.059181311,-25764184.95
43,TAS1,Cell 20,2021,3.789197606,67434245.75,60,0.641126353,5415.777114,-6.537256823,-1.422544896,0.42728317,-0.623230107,32320181.58,-24130937.97,-1020278.859,-12725.85995,AA,0,0,20749.14861,0,16387.54927,1297.136218,Pipeline,998.9015506,18343,-439847.7122,1576800,946.0054318,0,1.1,0,1,1.26615324,-0.165920224,-0.0361052,0.010844751,-0.015818023,0.129815024,0.026662774,-3.552319302,-1.422544896,-0.623230107,-0.090160388,-24130937.97
44,TAS1,Cell 20,2021,3.885461487,71450693.88,60,0.567778443,5415.777114,-10.53010456,-2.752142588,-0.072626456,-1.235326139,38925898.65,-22693713.18,-2001844.34,-20498.60355,AA,0,0,22635.43485,0,16387.54927,1302.219222,Pipeline,998.8972462,20010,-719011.536,1576800,952.152322,0,1.2,0,1,1.381258081,-0.267261537,-0.069851335,-0.001843311,-0.031353455,0.197410202,0.029510144,-4.785249158,-2.752142588,-1.235326139,-0.121453024,-22693713.18
45,TAS1,Cell 20,2021,3.982370439,75443650.98,60,0.492588739,5415.777114,-14.52875233,-4.07537826,-0.576784029,-1.845557709,45697487.77,-21446859.48,-3007908.857,-28282.63788,AA,0,0,24521.72109,0,16387.54927,1283.759589,Pipeline,998.9128783,21678,-994097.1126,1576800,958.2992122,0,1.3,0,1,1.496362921,-0.368750059,-0.103435996,-0.014639189,-0.046841566,0.265314063,0.032202377,-6.031115448,-4.07537826,-1.845557709,-0.153073996,-21446859.48
46,TAS1,Cell 20,2021,4.079975497,79457813.57,60,0.416377525,5415.777114,-18.5297798,-5.400068037,-1.073269282,-2.454602456,52561074.13,-20307597.85,-4029568.219,-36071.30467,AA,0,0,26408.00732,0,16387.54927,1286.551943,Pipeline,998.9105136,23345,-1269984.426,1576800,964.4461024,0,1.4,0,1,1.61146776,-0.47029898,-0.137057564,-0.027240337,-0.062299555,0.333241415,0.035059218,-7.283996917,-5.400068037,-2.454602456,-0.184873018,-20307597.85
47,TAS1,Cell 20,2021,4.178150746,83455990.25,60,0.338556808,5415.777114,-22.53805034,-6.725691097,-1.572890551,-3.062414636,59569612.39,-19329484.08,-5067423.521,-43874.07132,AA,0,0,28294.29356,0,16387.54927,1273.323635,Pipeline,998.9217157,25013,-1542800.88,1576800,968.8506475,0,1.5,0,1,1.726572601,-0.572031735,-0.17070282,-0.03992108,-0.07772626,0.401328915,0.03780518,-8.548598142,-6.725691097,-3.062414636,-0.216969496,-19329484.08
48,NSW1,Cell 2127,2021,3.925370029,27287785.42,60,1,4658.784825,37.5661476,36.59829081,39.40376377,38.83868571,0,-90060058.29,0,73128.76733,AA,0,0,0,0,19050.31411,1699.945645,Pipeline,998.5604409,19332,4729816.878,1576800,0,0,0,0,1,0,0.953455523,0.92889063,1.000095527,0.985753445,-0.024564893,0.014342082,,,,,
49,NSW1,Cell 2127,2021,4.042271628,34559464.73,60,0.981940355,4658.784825,33.26279961,32.82144991,35.15715788,34.55195963,1626452.671,-81746349.66,0,64751.58325,AA,0,0,2194.139868,2440.193778,19050.31411,1698.949249,Pipeline,998.5612847,19332,4084181.276,1576800,0,0,0.1,0,1,0.243268096,0.844233493,0.833031724,0.892313652,0.87695329,-0.011201769,0.015360362,,,,,
50,NSW1,Cell 2127,2021,4.15961271,41797937.19,60,0.963056257,4658.784825,28.95228088,29.05813289,30.91623753,30.26523355,3327155.614,-73506891.3,0,56360.44012,AA,0,0,4388.279736,4880.387556,19050.31411,1664.651184,Pipeline,998.5903292,19332,3443246.589,1576800,0,0,0.2,0,1,0.486536192,0.734829464,0.737516063,0.784676079,0.768153136,0.002686599,0.016522943,,,,,
