,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,h2_storage_p,h2_storage_level,price,CO2,Mean_CO2,Load
4457,1446.5292236713487,-1446.5292236713487,0.0,0.0,1446.5292236713487,-199.26985319958058,-3524.2484788232555,0.0,0.0,3524.2484788232555,199.26985319958058,-2276.989108351487,2276.989108351487,-39.21979271274707,39.21979271274707,74585.68093788774,0.15980706166666667,-698.0910582969677,-1021.1843447441673,0.0
4458,1446.5292236713487,-1446.5292236713487,0.0,0.0,1446.5292236713487,-3.2160824852719694,-3745.695535644871,0.0,0.0,3745.695535644871,3.2160824852719694,-2302.3823944587944,2302.3823944587944,-39.65717706991033,39.65717706991033,74625.33811495766,0.2094690875,-438.0594140616501,-1014.3884651061353,0.0
4459,1446.5292236713487,-1446.5292236713487,0.0,0.0,1446.5292236713487,0.0,-8456.905062608448,0.0,0.0,8456.905062608448,0.0,-7010.3758389371,7010.3758389371,-120.74958383995988,120.74958383995988,74746.08769879762,0.21790743166666668,-359.78537137784855,-1005.3470409956517,0.0
4460,1446.5292236713487,-1446.5292236713487,0.0,0.0,1446.5292236713487,0.0,-5599.929561626902,0.0,0.0,5599.929561626902,0.0,-4153.400337955553,4153.400337955553,-71.53986802580924,71.53986802580924,74817.62756682343,0.18759450666666666,-157.05152937140465,-1004.2271650725644,0.0
4461,0.0,0.0,0.0,0.0,0.0,0.0,-5930.893185028785,0.0,0.0,5930.893185028785,0.0,-5930.893185028785,5930.893185028785,-102.15613261614541,102.15613261614541,74919.78369943958,0.107834255,0.0,0.0,0.0
4462,1446.5292236713487,-1446.5292236713487,0.0,0.0,1446.5292236713487,0.0,-5446.5384821935995,0.0,0.0,5446.5384821935995,0.0,-4000.009258522251,4000.009258522251,-68.89779726785373,68.89779726785373,74988.68149670743,0.22597042416666668,-312.7326775790277,-1014.2986492628288,0.0
4463,1446.5292236713487,-1446.5292236713487,0.0,0.0,1446.5292236713487,0.0,-12427.226777568114,0.0,0.0,12427.226777568114,0.0,-10980.697553896765,10980.697553896765,-189.136030701962,189.136030701962,75177.8175274094,0.18524359083333333,-179.94808919376155,-1021.922476542276,0.0
4464,1446.5292236713487,-1446.5292236713487,0.0,0.0,1446.5292236713487,0.0,-12275.824971896513,0.0,0.0,12275.824971896513,0.0,-10829.295748225151,10829.295748225151,-186.52822400978357,-3313.4717759902164,71864.34575141918,0.17573207416666664,-426.29514580301435,-1021.8489187230906,3500.0
4465,1446.5292236713487,-1446.5292236713487,0.0,0.0,1446.5292236713487,0.0,-12378.160077028691,0.0,0.0,12378.160077028691,0.0,-10931.630853357343,10931.630853357343,-188.2908857615684,188.2908857615684,72052.63663718075,0.162410935,-692.9349919120327,-1035.1918759370362,0.0
4466,0.0,0.0,0.0,0.0,0.0,0.0,-11940.89093155974,0.0,0.0,11940.89093155974,0.0,-11940.89093155974,11940.89093155974,-205.67479458887345,205.67479458887345,72258.31143176962,0.10291875499999999,0.0,0.0,0.0
4467,1446.5292236713487,-1446.5292236713487,0.0,0.0,1446.5292236713487,0.0,-12335.932873566338,0.0,0.0,12335.932873566338,0.0,-10889.40364989499,10889.40364989499,-187.56354711925425,187.56354711925425,72445.87497888887,0.17479310166666667,-597.1531787052953,-1094.8183540701252,0.0
