,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,,EI_market,EI_MEF,EI_AEF,EI_L,LGCs,Ratio,Location
34,SA1,2021,3.09232605,34047379.62,60,0.165049196,5540.32541,29.19606079,22.95211557,10.24154399,11.25250402,4223924.755,-75195718.1,-4.67E-11,56834.99834,3687.388483,2073.930241,16019.15189,2477.076296,Pipeline,997.902346,16256,2132433.708,1576800,0,0,0.2,0,1,,0.741016771,0.582541004,0.259937665,0.285596549,0.91483552,0.359651919,SA1
35,SA1,2021,3.092359123,39045642.24,60,0.245501087,5540.32541,24.99298985,19.97402466,8.547561054,9.739291742,6522555.246,-67950216.12,-1.01E-10,48653.02025,5531.082725,3110.895362,16019.15189,2446.726058,Pipeline,997.9280474,16256,1510219.327,1576800,0,0,0.3,0,1,,0.634339844,0.506954941,0.216943174,0.247190146,0.78313561,0.539477879,SA1
36,SA1,2021,3.092944952,44057233.78,60,0.323649174,5540.32541,20.76988139,16.97828692,6.843967794,8.226079466,9028666.421,-60912194.83,-9.35E-11,40432.03578,7374.776966,4147.860483,16019.15189,2429.761223,Pipeline,997.9424137,16256,887760.5291,1576800,0,0,0.4,0,1,,0.52715435,0.430920988,0.173704766,0.208783743,0.65080784,0.719303839,SA1
37,SA1,2021,3.094122819,49067314.87,60,0.399898767,5540.32541,16.53026063,14.03036263,5.140364119,6.71286719,11705756.05,-54045151.99,-2.28E-10,32178.90736,9218.471208,5184.825603,16019.15189,2411.280229,Pipeline,997.9580639,16256,266804.1372,1576800,0,0,0.5,0,1,,0.419549762,0.356100574,0.130466094,0.17037734,0.517962669,0.899129799,SA1
38,SA1,2021,3.096046748,54092609.21,60,0.472666882,5540.32541,12.26035943,11.06502775,3.432016923,5.199654913,14696387.87,-47491651.34,-2.03E-10,23866.83302,11062.16545,6221.790724,16019.15189,2408.075177,Pipeline,997.960778,16256,-354171.8173,1576800,0,0,0.6,0,1,,0.311176635,0.280838268,0.087107029,0.131970937,0.384168685,1.078955758,SA1
39,SA1,2021,3.099670116,59141774.95,60,0.539685321,5540.32541,7.947507705,8.094797149,1.716883753,3.688620956,18191096.71,-41455966.8,-13739.09317,15471.14833,12905.85969,7258.755845,16019.15189,2428.839649,Pipeline,997.9431941,16993,-973987.3485,1576800,0,0,0.7,0,1,,0.201713394,0.205451704,0.04357573,0.093619821,0.249028881,1.258781718,SA1
40,SA1,2021,3.107478457,64167599.96,60,0.595680325,5540.32541,3.561684464,5.156216594,0.007269089,2.184656658,22633986.99,-36413053.47,-72067.9475,6933.412424,14749.55393,8295.720965,16019.15189,2426.16736,Pipeline,997.945457,19420,-1581767.547,1576800,0,0,0.8,0,1,,0.090398083,0.130868441,0.000184495,0.055448139,0.111602571,1.438607677,SA1
41,SA1,2021,3.117709153,69208497.62,60,0.644763211,5540.32541,-0.949168568,2.177285022,-1.726158092,0.660658077,27825743.31,-31992645.94,-4036.564946,-1847.714812,16593.24817,9332.686086,16019.15189,2438.630039,Pipeline,997.9349033,21848,-2185775.624,1576800,0,0,0.9,0,1,,-0.024090573,0.055261041,-0.043811119,0.016767971,-0.029741448,1.618433637,SA1
42,SA1,2021,3.130085257,74230754.37,60,0.688549532,5540.32541,-5.471563706,-0.779029686,-3.437984206,-0.852684582,33427299.46,-28049247.27,-3214.215623,-10651.31068,18436.94242,10369.65121,16019.15189,2432.374671,Pipeline,997.9402005,24275,-2782867.848,1576800,0,0,1,0,1,,-0.138872175,-0.019772327,-0.087258482,-0.021641741,-0.17144713,1.798259597,SA1
43,SA1,2021,3.149587588,79259240.68,60,0.715322674,5540.32541,-10.12346204,-3.731459347,-5.147186961,-2.360326526,40525108.03,-25638056.56,-38347.41632,-19707.0061,20280.63666,11406.61633,16019.15189,2432.374671,Pipeline,997.9402005,26703,-3364603.906,1576800,0,0,1.1,0,1,,-0.256940661,-0.09470709,-0.130639263,-0.059906765,-0.317210692,1.978085557,SA1
