,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Ratio,EI_market,EI_MEF,EI_AEF,EI_L,LGCs (per REC/MWh),EI_MEF-EI_Market
42,SA1,2021,3.038296427,73123056.28,60,0.684484721,5546.02329,-5.468482171,-0.667657702,-3.804785484,-0.840821755,33718555.37,-28415324.4,-0.00279629,-10645.31196,18369.53497,10473.86321,16002.69412,2304.371576,Pipeline,596.1727434,24296,-2865047.867,1576800,1.10E-08,0,1,1,24,1.802408892,-0.164218684,-0.020049781,-0.114257822,-0.025249903,0.202739116,0.144168903
43,SA1,2021,3.058025624,78144661.63,60,0.711295207,5546.02329,-10.13326073,-3.638615541,-5.507907682,-2.352539326,40838706.49,-26000770.45,-1623.867291,-19726.08088,20206.48847,11521.24953,16002.69412,2298.062859,Pipeline,596.208884,26726,-3445512.568,1576800,0,0,1.1,1,24,1.982649781,-0.304302124,-0.109267734,-0.165402633,-0.070646827,0.375681634,0.19503439
44,SA1,2021,3.079018533,83159274.15,60,0.735271212,5546.02329,-14.82436077,-6.614776615,-7.21370215,-3.864771821,48217378.93,-23841490.1,-8.45E-10,-28858.08897,22043.44196,12568.63585,16002.69412,2279.764176,Pipeline,596.3137113,29155,-4022349.205,1576800,0,0,1.2,1,24,2.16289067,-0.445175999,-0.19864194,-0.216627692,-0.116059214,0.549599999,0.246534059
45,SA1,2021,3.101118903,88193960.12,60,0.756277494,5546.02329,-19.54045604,-9.592501255,-8.930869892,-5.376746854,55861880.88,-21949663.13,-7.70E-11,-38038.75442,23880.39546,13616.02217,16002.69412,2295.887672,Pipeline,596.221345,31585,-4598934.463,1576800,0,0,1.3,1,24,2.34313156,-0.586800482,-0.288063101,-0.268194291,-0.161463869,0.724445039,0.298737381
46,SA1,2021,3.124038834,93217966.34,60,0.77557845,5546.02329,-24.27138351,-12.5717195,-10.64109397,-6.888721886,63659964.56,-20211417.88,-4.11E-10,-47248.29324,25717.34896,14663.40849,16002.69412,2293.697325,Pipeline,596.2338928,34014,-5172480.115,1576800,0,0,1.4,1,24,2.523372449,-0.728870376,-0.377529114,-0.319552371,-0.206868525,0.89983997,0.351341262
47,SA1,2021,3.147738318,98241141.19,60,0.792408566,5546.02329,-29.02380132,-15.56441153,-12.35220062,-8.400696919,71680572.24,-18695696.64,-9.10E-10,-56499.66657,27554.30246,15710.79482,16002.69412,2290.081353,Pipeline,596.2546075,36444,-5744176.858,1576800,0,0,1.5,1,24,2.703613339,-0.871585625,-0.467399746,-0.370936956,-0.252273181,1.076031636,0.404185879
48,NSW1,2021,3.811879221,24719402.76,60,0,4822.917513,37.5661476,36.54305796,39.43488014,38.83868571,0,-90060058.29,0,73128.76733,0,0,18401.99714,0,Pipeline,1000,18674,4795832.442,1576800,0,0,0,1,24,0,1.128112541,1.097389128,1.184230635,1.166326898,-1.392731532,-0.030723413
49,NSW1,2021,3.870584027,31171819.72,60,0.089241804,4822.917513,33.29651714,32.78857002,35.17173978,34.60269013,1785404.141,-82022936.19,-2.75E-11,64817.22004,2114.098283,1831.656576,18401.99714,0,Pipeline,1000,18674,4123005.157,1576800,0,0,0.1,1,24,0.214419926,0.99989541,0.984641742,1.056208402,1.039119824,-1.234438777,-0.015253668
50,NSW1,2021,3.929996515,37624236.68,60,0.176974021,4822.917513,29.01375693,29.04119708,30.91098236,30.36669454,3706761.834,-74121767.64,-5.50E-11,56480.11349,4228.196566,3663.313152,18401.99714,0,Pipeline,1000,18674,3451771.978,1576800,0,0,0.2,1,24,0.428839851,0.871283992,0.87210802,0.928257729,0.911912749,-1.075659249,0.000824028
51,NSW1,2021,3.989971863,44076653.65,60,0.262956125,4822.917513,24.71577496,25.27871148,26.6496714,26.13069895,5785734.806,-66378214.37,-1.02E-10,48113.37526,6342.294849,5494.969728,18401.99714,0,Pipeline,1000,18674,2781806.68,1576800,0,0,0.3,1,24,0.643259777,0.742215464,0.759120465,0.800290432,0.784705674,-0.916315388,0.016905001
