,Wind
1117,6960.46
1118,0.0
1119,0.0
1120,0.0
1121,9380.82
1122,52222.52
1123,179784.49
1124,260041.96
1125,282880.07
1126,282880.07
1127,282880.07
1128,162770.2
1129,81260.32
1130,38581.44
1131,15554.92
1132,6357.48
1133,0.0
1134,0.0
1135,0.0
1136,0.0
1137,9264.74
1138,0.0
1139,0.0
1140,0.0
1141,0.0
1142,13209.32
1143,34967.45
1144,62403.06
1145,89427.67
1146,106573.52
1147,132853.33
1148,113154.27
1149,73688.32
1150,46158.3
1151,31021.66
1152,20585.18
1153,9996.87
1154,1465.15
1155,0.0
1156,14011.62
1157,74429.06
1158,214179.31
1159,268623.44
1160,282880.07
1161,282880.07
1162,282880.07
1163,234458.74
1164,147963.38
1165,101986.91
1166,74018.93
1167,58985.26
1168,47659.82
1169,36362.93
1170,32575.45
1171,47059.53
1172,85271.66
1173,69256.84
1174,42374.4
1175,34943.69
1176,72263.92
1177,127838.03
1178,178902.96
1179,263066.35
1180,282880.07
1181,282880.07
1182,282880.07
1183,282880.07
1184,282880.07
1185,282880.07
1186,282880.07
1187,282880.07
1188,282880.07
1189,282880.07
1190,282880.07
1191,282880.07
1192,282880.07
1193,254071.39
1194,163444.62
1195,169065.51
1196,263860.0
1197,282880.07
1198,282880.07
1199,282880.07
1200,282880.07
1201,282880.07
1202,282880.07
1203,190678.7
1204,109537.0
1205,49634.54
1206,19513.29
1207,0.0
1208,0.0
1209,0.0
1210,0.0
1211,0.0
1212,4626.6
1213,3540.68
1214,0.0
1215,1249.78
1216,10663.56
1217,26627.36
1218,58185.92
1219,112689.89
1220,107092.65
1221,68763.85
1222,32795.56
1223,12488.26
1224,3200.88
1225,0.0
1226,5664.45
1227,14003.76
1228,19051.7
1229,21177.17
1230,28158.57
1231,25670.86
1232,14467.67
1233,4120.87
1234,0.0
1235,0.0
1236,0.0
1237,0.0
1238,0.0
1239,23864.66
1240,54560.54
1241,76647.3
1242,78290.36
1243,69284.18
1244,75454.09
1245,59913.99
1246,52575.3
1247,50678.53
1248,43643.61
1249,35325.21
1250,39543.08
1251,49150.78
1252,64623.72
1253,89975.69
1254,117125.57
1255,147980.54
1256,272037.19
1257,282880.07
1258,228170.41
1259,188916.64
1260,193314.04
1261,246649.95
1262,282880.07
1263,282880.07
1264,282880.07
1265,282880.07
1266,282880.07
1267,282880.07
1268,282880.07
1269,282880.07
1270,260171.7
1271,242932.94
1272,256937.91
1273,257930.53
1274,279185.98
1275,275688.9
1276,275138.67
1277,282880.07
1278,282880.07
1279,282880.07
1280,245744.08
1281,252332.75
1282,229443.4
1283,218691.0
1284,209868.97
1285,205395.97
1286,203091.83
1287,207085.98
1288,206044.61
1289,203612.33
1290,175503.42
1291,147827.69
1292,134134.66
1293,125833.24
1294,113009.0
1295,93522.02
1296,79119.96
1297,66066.29
1298,63791.05
1299,64218.94
1300,52070.49
1301,37621.47
1302,28029.11
1303,19412.76
1304,11325.58
1305,10264.92
1306,8728.7
1307,10039.09
1308,13053.38
1309,16413.76
1310,22837.87
1311,39480.99
1312,56572.54
1313,77038.47
1314,77458.54
1315,68062.73
1316,59459.54
1317,53340.53
1318,51089.47
1319,40216.53
1320,20082.51
1321,8926.08
1322,0.0
1323,0.0
1324,0.0
1325,7664.76
1326,20013.92
1327,35221.4
1328,32736.82
1329,73131.95
1330,135932.98
1331,187522.61
1332,231780.72
1333,254065.76
1334,277312.39
1335,282880.07
1336,282880.07
1337,282880.07
1338,282880.07
1339,282880.07
1340,236574.99
1341,215442.31
1342,205237.19
1343,181514.82
1344,157820.36
1345,158123.5
1346,143518.54
1347,152924.84
1348,156738.05
1349,146465.09
1350,161815.55
1351,152823.22
1352,106690.01
1353,96593.3
1354,76081.26
1355,71501.52
1356,65174.67
1357,60004.88
1358,59488.2
1359,72347.82
1360,83688.59
1361,77780.78
1362,74808.58
1363,64155.69
1364,85577.85
1365,82743.74
1366,95189.6
1367,94857.1
1368,87145.64
1369,77705.04
1370,65481.5
1371,51032.54
1372,33152.29
1373,21794.14
1374,11786.56
1375,0.0
1376,0.0
1377,0.0
1378,0.0
1379,0.0
1380,0.0
1381,0.0
1382,0.0
1383,0.0
1384,0.0
1385,2096.79
1386,14343.62
1387,56174.98
1388,74704.8
1389,50363.34
1390,30311.24
1391,15604.8
1392,2457.29
1393,0.0
1394,0.0
1395,0.0
1396,0.0
1397,0.0
1398,0.0
1399,1076.16
1400,0.0
1401,0.0
1402,0.0
1403,0.0
1404,0.0
1405,3111.83
1406,0.0
1407,0.0
1408,0.0
1409,12677.72
1410,57553.3
1411,142755.48
1412,149683.61
1413,120613.67
1414,117055.02
1415,112839.84
1416,104043.55
1417,95589.6
1418,97353.46
1419,99095.29
1420,125220.32
1421,140094.31
1422,141465.24
1423,164490.73
