,Solar
988,0.0
989,0.0
990,0.0
991,409.72
992,769.23
993,769.23
994,769.23
995,769.23
996,769.23
997,769.23
998,769.06
999,710.6
1000,476.6
1001,227.57
1002,14.72
1003,-0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,769.23
1016,769.23
1017,769.23
1018,769.23
1019,769.23
1020,769.23
1021,769.23
1022,769.23
1023,683.17
1024,226.28
1025,52.72
1026,6.39
1027,-0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,769.23
1040,769.23
1041,769.23
1042,769.23
1043,769.23
1044,769.23
1045,769.23
1046,769.23
1047,769.23
1048,508.65
1049,45.18
1050,0.88
1051,-0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,78.93
1064,574.96
1065,529.59
1066,364.45
1067,295.7
1068,244.59
1069,175.72
1070,99.12
1071,145.56
1072,191.96
1073,127.06
1074,4.93
1075,-0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,769.23
1088,408.55
1089,400.95
1090,481.98
1091,629.71
1092,769.23
1093,769.23
1094,769.23
1095,711.98
1096,514.57
1097,183.95
1098,8.4
1099,-0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,0.0
1106,0.0
1107,0.0
1108,0.0
1109,0.0
1110,0.0
1111,97.52
1112,766.58
1113,769.23
1114,769.23
1115,769.23
1116,769.23
1117,769.23
1118,755.53
1119,410.05
1120,342.2
1121,190.32
1122,6.37
1123,-0.0
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.0
1132,0.0
1133,0.0
1134,0.0
1135,769.23
1136,735.99
1137,769.23
1138,769.23
1139,769.23
1140,769.23
1141,769.23
1142,643.62
1143,396.12
1144,309.69
1145,167.83
1146,5.58
1147,-0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0
1156,0.0
1157,0.0
1158,0.0
1159,130.87
1160,512.26
1161,687.5
1162,682.19
1163,677.02
1164,642.0
1165,611.48
1166,627.91
1167,592.19
1168,454.37
1169,193.38
1170,6.16
1171,-0.0
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,0.0
1183,187.98
1184,134.89
1185,144.85
1186,179.22
1187,185.06
1188,178.15
1189,171.09
1190,121.09
1191,91.62
1192,50.75
1193,23.04
1194,2.61
1195,-0.0
1196,0.0
1197,0.0
1198,0.0
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,0.0
1206,0.0
1207,769.23
1208,458.82
1209,176.31
1210,181.75
1211,143.1
1212,306.92
1213,497.83
1214,475.31
1215,329.02
1216,250.08
1217,168.03
1218,6.12
1219,-0.0
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,0.0
1231,764.85
1232,769.23
1233,769.23
1234,769.23
1235,769.23
1236,769.23
1237,769.23
1238,765.73
1239,631.77
1240,273.34
1241,127.13
1242,3.42
1243,-0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,0.0
1255,149.94
1256,769.23
1257,769.23
1258,769.23
1259,769.23
1260,769.23
1261,769.23
1262,769.23
1263,756.05
1264,579.84
1265,312.43
1266,4.87
1267,-0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,0.0
1279,158.01
1280,769.23
1281,769.23
1282,769.23
1283,769.23
1284,769.23
1285,769.23
1286,680.97
1287,483.77
1288,349.08
1289,177.85
1290,2.37
1291,-0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,0.0
1303,31.75
1304,407.99
1305,504.32
1306,623.78
1307,758.29
1308,769.23
1309,645.26
1310,510.65
1311,479.01
1312,384.82
1313,129.33
1314,0.91
1315,-0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,0.0
1327,122.7
1328,769.23
1329,769.23
1330,769.23
1331,769.23
1332,769.23
1333,769.23
1334,769.23
1335,690.15
1336,486.02
1337,235.75
1338,1.11
1339,-0.0
1340,0.0
1341,0.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,0.0
1351,89.59
1352,754.77
1353,769.23
1354,769.23
1355,769.23
1356,587.48
1357,434.89
1358,506.85
1359,532.43
1360,351.39
1361,133.46
1362,0.51
1363,-0.0
1364,0.0
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,0.0
1370,0.0
1371,0.0
1372,0.0
1373,0.0
1374,0.0
1375,49.93
1376,637.84
1377,769.23
1378,769.23
1379,769.23
1380,710.2
1381,658.04
1382,563.81
1383,424.17
1384,188.48
1385,51.19
1386,-0.0
1387,-0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1393,0.0
1394,0.0
1395,0.0
1396,0.0
1397,0.0
1398,0.0
1399,73.13
1400,470.93
