,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval
21,QLD1,2021,2010.2029200973618,96106616.61077058,60,0.9155887118080852,14.752631994059476,4.512958246120457,6.817279134047155,5.893758147146811,5.825715576339271,20877.494576972116,-55352.96209722645,-2.262368070660159e-11,24.069110645975766,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,18938.0,1375.702187639276,4320.0,610.1852854254471,0,1,0,1
22,QLD1,2021,2009.5222768120302,96106616.61077058,60,0.6627891032647493,14.752631994059476,-14.367329321582947,-9.963309744628905,-11.547593493847309,-12.685129130956899,83353.24094987195,-8285.079517359884,-1.3130829756846651e-11,-76.62575638177572,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,24723.0,-2824.839230405569,4320.0,610.1852854254471,0,1,0,1
23,QLD1,2021,2005.921135736124,96106616.61077058,60,0.8974635966511876,14.752631994059481,-3.677757429556019,-1.410426100984236,-2.8908201520712518,-3.0902844097787385,25346.198837121225,-7058.488357334716,-7.807011304794628,-19.614706290965433,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,17682.0,-25049.024155999123,4320.0,610.1852854254471,0,1,0,1
24,QLD1,2021,2010.8795035639548,96106616.61077058,60,1.0,14.752631994059477,19.979903139318694,16.283577610009896,21.610537701945276,22.17559036018769,0.0,-131230.89089864495,-1.759303813742008e-11,106.55948340969971,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,16772.0,5551.18872432802,4320.0,610.1852854254471,0,1,0,1
25,QLD1,2021,2008.3421625192984,96106616.61077058,60,0.13564223577665122,14.752631994059481,-40.08943674281956,-27.02808313443598,-34.01957687772216,-36.12998620031886,213810.32929503763,0.0,-2.3646862246096134e-11,-213.81032929503763,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,18905.0,-10107.830294123642,4320.0,610.1852854254471,0,1,0,1
26,QLD1,2021,2007.8284520122886,96106616.61077058,60,0.17147951341950776,14.752631994059483,-38.422164124892284,-34.71055160485509,-33.386028938887705,-34.627382482927615,204918.2086660922,0.0,-1.0913936421275139e-11,-204.9182086660922,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,18062.0,-13278.157994526982,4320.0,610.1852854254471,0,1,0,1
27,QLD1,2021,2008.4483161529931,96106616.61077058,60,-0.060543499689595555,14.75263199405948,-49.18644692172822,-48.06179521618772,-40.6025280588827,-44.32852623810074,262327.7169158838,0.0,-7.275957614183426e-12,-262.3277169158838,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,30462.0,-9452.710726177813,4320.0,610.1852854254471,0,1,0,1
28,QLD1,2021,2008.4243492613773,96106616.61077058,60,0.01541463943574123,14.752631994059481,-45.670384023335615,-40.382451679146975,-37.80590978353286,-41.15972881115431,243575.38145778992,0.0,-1.0913936421275139e-11,-243.57538145778992,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,27721.0,-9600.620685864926,4320.0,610.1852854254471,0,1,0,1
29,QLD1,2021,2008.9936224262763,96106616.61077058,60,0.23559784028893954,14.75263199405948,-35.457500776340346,-29.343445580737548,-28.69949183552159,-31.95552539102278,189106.6708071485,0.0,-1828.3856092630613,-189.1066708071485,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,21208.0,-6087.392011058848,4320.0,610.1852854254471,0,1,0,1
30,QLD1,2021,2009.0963576118043,96106616.61077058,60,0.38390185712825214,14.752631994059481,-28.579724577647657,-27.81196392338102,-25.306234087019096,-25.757035730472573,152425.19774745416,0.0,-7.105427357601002e-12,-152.42519774745418,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,16649.0,-5453.369151799889,4320.0,610.1852854254471,0,1,0,1
31,QLD1,2021,2009.1027011636018,96106616.61077058,60,0.3945295866849102,14.752631994059477,-28.079909536413215,-26.010187553598893,-22.907594154220998,-25.306585137755114,149759.51752753713,0.0,-8064.908782484595,-149.75951752753713,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,17903.0,-5414.220374993117,4320.0,610.1852854254471,0,1,0,1
32,QLD1,2021,2008.1696253867772,96106616.61077058,60,-0.08879815925586747,14.752631994059481,-50.501055489281,-50.70966247687707,-43.79474971758961,-45.51329692243843,269338.96260949865,0.0,-7.275957614183426e-12,-269.33896260949865,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,29041.0,-11172.630883396523,4320.0,610.1852854254471,0,1,0,1
33,QLD1,2021,2008.7674716147678,96106616.61077058,60,0.07095246834850948,14.752631994059476,-43.08404839603406,-40.03224941059867,-36.47983964575109,-38.82883373963564,229781.59144551502,0.0,-1.0913936421275139e-11,-229.78159144551503,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,30024.0,-7483.065590652772,4320.0,610.1852854254471,0,1,0,1
34,QLD1,2021,2008.7321382493137,96106616.61077058,60,0.21682211735002624,14.75263199405948,-36.322551285424396,-29.87123776234749,-30.443850245339625,-32.73513881278989,193720.27352226345,0.0,-8.185452315956354e-12,-193.72027352226345,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,30292.0,-7701.122931742328,4320.0,610.1852854254471,0,1,0,1
