,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_MEF,EI_MeanEI,EI_GCO,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Supply_ratio,Ratio
60,SA1,2021,2.758123156,19357095.2,60,0,4643.044948,30.03541785,9.058065811,38.185344,14.51428571,0,-74168000,0,60224.416,0,0,15974,58602.33268,15974,1960870.1,1277500,14471.91437,0,0,0,24,-1,0
61,SA1,2021,2.707268627,21925125.42,60,0.083858053,4643.044948,26.93514427,7.828859643,34.22401994,13.06283256,1197341.536,-67948415.92,0,53976.77219,1807,0,15974,55139.43497,15974,1514531.976,1277500,19956.67827,0,0.1,0,24,-1,0.113121322
62,SA1,2021,2.658955643,24482184.01,60,0.16620203,4643.044948,23.89164887,6.634682942,30.24931002,11.61137941,2506979.048,-61841127.81,0,47708.01674,3614,0,15974,51055.26698,15974,1074310.448,1277500,27905.99843,0,0.2,0,24,-1,0.226242644
63,SA1,2021,2.613630685,27069418.43,60,0.245944424,4643.044948,20.83213654,5.407694735,26.25159966,10.15992625,4009570.83,-55926793.98,0,41402.98588,5421,0,15974,48679.809,15974,636259.3277,1277500,31667.09991,0,0.3,0,24,-1,0.339363966
64,SA1,2021,2.571851225,29678862.76,60,0.322511597,4643.044948,17.78707753,4.196419961,22.22581735,8.708473098,5747662.369,-50247959.9,0,35053.68107,7228,0,15974,47561.99077,15974,202368.233,1277500,31382.69372,0,0.4,0,24,-1,0.452485289
65,SA1,2021,2.534077802,32280930.11,60,0.395033706,4643.044948,14.79182676,2.963829479,18.16427287,7.257019943,7785768.188,-44869140.1,0,28647.97357,9035,0,15974,46374.41511,15897.18669,-223037.6237,1277500,26478.74456,0,0.5,0,24,-1,0.565606611
66,SA1,2021,2.501247149,34877465.38,60,0.462172432,4643.044948,11.67407839,1.70864212,14.05513421,5.805566789,10223148.79,-39889595.08,0,22167.20242,10842,0,15974,45235.79307,15740.41589,-638390.2368,1277500,21835.88663,0,0.6,0,24,-1,0.678727933
67,SA1,2021,2.473222956,37493471.88,60,0.525464599,4643.044948,8.690345397,0.46359451,9.911988353,4.354113635,12945820.97,-35195341.65,0,15632.79645,12649,0,15974,45299.04561,15561.72166,-1046863.395,1277500,13166.10407,0,0.7,0,24,-1,0.791849255
68,SA1,2021,2.449759615,40099204.57,60,0.582112381,4643.044948,5.679351131,-0.839811877,5.710099873,2.902660481,16161293.89,-30993888.95,0,9005.743935,14456,0,15974,44811.25517,15376.24756,-1445457.595,1277500,8543.472292,0,0.8,0,24,-1,0.904970577
69,SA1,2021,2.431064363,42727928.01,60,0.637189413,4643.044948,2.672081421,-2.161273732,1.494324488,1.451207327,19493266.15,-26908935.59,0,2356.789548,16263,0,15974,45999.04362,15108.27375,-1837655.607,1277500,7929.309364,0,0.9,0,24,-1,1.018091899
70,SA1,2021,2.418577715,45497546.23,60,0.681500746,4643.044948,-0.390847864,-3.570856364,-2.816629821,-0.000245828,23623708.84,-23622452.66,0,-4442.277279,18070,0,15974,50029.87068,15973.88395,-2234458.084,1277500,6785.360046,0,1,0,24,-1,1.131213221
71,SA1,2021,2.441709304,48277391.32,60,0.698762285,4643.044948,-2.562022714,-4.753682637,-6.231937369,-1.101454411,27970630.85,-22342198.81,-1789749.755,-9828.765418,19877,0,15974,51324.83202,17571.27235,-2564654.158,1277500,7010.201608,0,1.1,0,24,-1,1.244334544
72,SA1,2021,2.467517776,51045680.14,60,0.712452166,4643.044948,-4.66312992,-5.928402079,-9.601846264,-2.17890513,32461052.97,-21326847.76,-3700902.198,-15143.65259,21684,0,15974,51965.41803,19168.66074,-2888407.878,1277500,6291.966658,0,1.2,0,24,-1,1.357455866
73,SA1,2021,2.495429884,53799793.85,60,0.72490533,4643.044948,-6.723516431,-7.069892951,-12.91707058,-3.236103284,36939709.29,-20403221.51,-5715545.254,-20372.29342,23491,0,15974,51803.33634,20766.04914,-3206505.161,1277500,5942.893485,0,1.3,0,24,-1,1.470577188
74,SA1,2021,2.524734385,56561573.04,60,0.736247608,4643.044948,-8.782057685,-8.202550732,-16.18917602,-4.27696188,41417262.65,-19561987.44,-7813683.444,-25532.92885,25298,0,15974,52075.31381,22363.43753,-3522845.529,1277500,5636.236644,0,1.4,0,24,-1,1.58369851
