,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Connection_fee
47,QLD1,2021,2.360110749,58160796.49,60,0.751193153,6155.345283,-13.75967119,-8.579920117,-10.72558712,-10.44778706,36462257.42,-18178630.07,-9513386.723,-21701.20981,30168.44702,0,11681.71674,41594.43804,26668.91376,-3918755.129,1277500,0,0,1,0,24,40
48,QLD1,2021,2.391451626,55227503.62,60,0.732178099,6165.805343,-10.06294455,-5.559520456,-7.33697285,-6.96702368,31759244.37,-19566952.93,-7979058.789,-15870.87859,27886.43145,0,11661.89914,41359.16169,24651.6115,-3452682.214,1277500,0,0,1,0,24,60
49,QLD1,2021,2.420704575,53222487.25,60,0.717765164,6177.541027,-7.426660736,-3.411886179,-4.91200459,-4.478049743,28455995.9,-20619408.85,-6923583.911,-11713.03591,26267.30641,0,11639.74463,41128.22953,23220.30461,-3117072.001,1277500,0,0,1,0,24,80
50,QLD1,2021,2.448280967,51245050.86,60,0.700678811,6204.473321,-4.900572934,-1.350913179,-2.562466874,-2.067460767,25484724.89,-21866668.55,-5968094.848,-7728.990028,24718.67006,0,11589.21898,41254.71681,21851.30974,-2788245.5,1277500,0,0,1,0,24,100
51,QLD1,2021,2.474282357,49455367.36,60,0.684257144,6232.870444,-2.62522945,0.549816119,-0.438743581,0.111966039,22869744.25,-23065684.81,-5142601.213,-4140.408176,23330.3246,0,11536.41819,41081.84663,20624.01205,-2488628.5,1277500,0,0,1,0,24,120
52,QLD1,2021,2.498752463,47437603.92,60,0.666266119,6265.489687,-0.145245963,2.627811171,1.881909236,2.488084786,20024705.73,-24378854.1,-4277690.393,-229.0761955,21826.85481,0,11476.35757,41504.21439,19294.94443,-2161738.068,1277500,0,0,1,0,24,140
53,QLD1,2021,2.521787421,45988126.16,60,0.65205162,6283.35033,1.706588153,4.182396862,3.617270316,4.268477053,17946502.55,-25416337.39,-3640190.833,2691.563414,20703.48742,0,11443.73562,41097.62554,18301.88741,-1915909.062,1277500,0,0,1,0,24,160
54,QLD1,2021,2.543613241,44566713.22,60,0.637603946,6305.458623,3.499983334,5.690268129,5.304758062,5.998053311,15974459.1,-26471052.4,-3053999.077,5520.035444,19622.28958,0,11403.61143,41128.48233,17346.10828,-1676406.554,1277500,0,0,1,0,24,180
55,QLD1,2021,2.564372528,43441260.02,60,0.624312616,6330.51409,4.952758365,6.922668933,6.686351583,7.41153325,14470712.34,-27440895.53,-2604981.781,7811.294828,18747.29561,0,11358.47721,41332.22165,16572.61342,-1478881.49,1277500,0,0,1,0,24,200
56,QLD1,2021,2.58428229,42468141.35,60,0.612453981,6348.12754,6.233266166,8.014659213,7.90205047,8.658589337,13154225.02,-28306756.36,-2216460.766,9830.861145,17978.07567,0,11326.96209,41211.53277,15892.62283,-1304427.494,1277500,0,0,1,0,24,220
57,QLD1,2021,2.603330714,41504892.18,60,0.600616644,6362.764218,7.488059169,9.078177632,9.096188798,9.882308575,11877071.21,-29171111.22,-1846556.878,11809.8711,17226.69162,0,11300.90595,41176.2981,15228.39916,-1133563.242,1277500,0,0,1,0,24,240
58,QLD1,2021,2.62158632,40477584.56,60,0.588082218,6378.685089,8.783477297,10.17628588,10.32697519,11.14808694,10577011.46,-30086163.61,-1479151.262,13852.95339,16453.89214,0,11272.69947,41191.26033,14545.24425,-956026.6525,1277500,0,0,1,0,24,260
59,QLD1,2021,2.639006228,39562019.57,60,0.576025503,6399.425233,9.9480544,11.17309415,11.44563202,12.29215118,9454619.33,-30965883.89,-1168121.947,15689.67839,15761.375,0,11236.16534,41844.50908,13933.05894,-794872.1293,1277500,0,0,1,0,24,280
60,NSW1,2021,2.941766228,28841657.29,60,0.492393403,7070.912791,17.30963128,18.08873487,18.90841173,18.24035681,2794305.619,-37062034.78,-325.9038552,27300.06662,11700.80044,0,10169.12556,54730.21981,10394,1203265.047,1277500,0,0,1,0,24,0
61,NSW1,2021,2.954423755,28968335.48,60,0.491052873,7091.423243,17.37414029,18.13915113,18.9797721,18.30429565,2771947.625,-37159797.18,-55.94281114,27401.80769,11664.37625,0,10139.7135,55003.8228,10311.31115,1215244.192,1277500,0,0,1,0,24,20
62,NSW1,2021,2.967034338,29105469,60,0.489840348,7109.198892,17.43045692,18.17474464,19.04000457,18.36042546,2754952.096,-37248251.41,-14.2668324,27490.62805,11632.47415,0,10114.36043,55315.52326,10283.10969,1225563.475,1277500,0,0,1,0,24,40
63,NSW1,2021,2.979614852,29258989.53,60,0.489062246,7121.806318,17.46976415,18.19967118,19.08342254,18.39909907,2739006.339,-37304960.84,-27.54052502,27552.62186,11610.4768,0,10096.45542,55323.21663,10263.66403,1233225.2,1277500,0,0,1,0,24,60
64,NSW1,2021,2.992163769,29368852.78,60,0.487818726,7142.771695,17.53495266,18.23943499,19.15724556,18.46288102,2709674.921,-37395455.07,-0.924540974,27655.43459,11574.10681,0,10066.82043,54853.28047,10231.51295,1246968.437,1277500,0,0,1,0,24,80
65,NSW1,2021,3.004672345,29475381.26,60,0.486715332,7164.932387,17.60551302,18.27345166,19.22842463,18.53015244,2663592.741,-37475754.12,-6.46111419,27766.71961,11535.78866,0,10035.68437,54528.28787,10197.6397,1261161.364,1277500,0,0,1,0,24,100
66,NSW1,2021,3.017141806,29579364.92,60,0.485465871,7186.078457,17.67516939,18.31359147,19.30384051,18.5977318,2627592.979,-37566714.11,-22.47094817,27876.57888,11497.29751,0,10006.15293,54054.26055,10163.61352,1275491.843,1277500,0,0,1,0,24,120
67,NSW1,2021,3.029574445,29706991.17,60,0.484584909,7202.123918,17.73162993,18.35104,19.36150449,18.65154632,2590603.234,-37630824.45,0,27965.62622,11466.63682,0,9983.86043,53858.6747,10136.50945,1286375.513,1277500,0,0,1,0,24,140
68,NSW1,2021,3.041979139,29876236.54,60,0.484091769,7209.177597,17.75534841,18.36766274,19.38836524,18.67505421,2582374.951,-37666759.88,0,28003.03407,11453.25947,0,9974.091917,53793.90937,10121.1718,1291176.765,1277500,0,0,1,0,24,160
69,NSW1,2021,3.054357712,30005381.75,60,0.483081367,7226.754572,17.80434809,18.40265318,19.44568122,18.72354305,2564761.493,-37740241.28,-3.662333698,28080.31442,11425.58239,0,9949.832845,53641.43973,10096.555,1301807.151,1277500,0,0,1,0,24,180
70,NSW1,2021,3.066712281,30145651.18,60,0.482527259,7240.043074,17.84255141,18.43132421,19.48590142,18.75964248,2537188.985,-37780487.91,-5.64700974,28140.5672,11404.98057,0,9931.570748,53160.46076,10078.02361,1310564.433,1277500,0,0,1,0,24,200
71,NSW1,2021,3.079043939,30294032.92,60,0.48166349,7253.121177,17.87826903,18.45545926,19.52510471,18.79592353,2531943.217,-37843402.49,-4.062099375,28196.89961,11384.30977,0,9913.663132,53160.60164,10059.85192,1318314.715,1277500,0,0,1,0,24,220
72,NSW1,2021,3.091353828,30449313.65,60,0.481187706,7264.58654,17.91203074,18.46671523,19.56229153,18.82773542,2506841.828,-37878065.36,-9.871936433,28250.14725,11366.22044,0,9898.016853,53212.05822,10043.97492,1325021.681,1277500,0,0,1,0,24,240
73,NSW1,2021,3.103644318,30587346.12,60,0.480612362,7278.819049,17.95339788,18.48852022,19.60375804,18.86665065,2475575.775,-37919908.42,-15.22691143,28315.38986,11344.04961,0,9878.662942,52938.46646,10024.33561,1334022.167,1277500,0,0,1,0,24,260
74,NSW1,2021,3.115911199,30722053.56,60,0.479708853,7294.072785,17.9952601,18.51090631,19.65003291,18.90838377,2463021.663,-37985757.36,-7.557285514,28381.41331,11320.30359,0,9858.00418,52750.68783,10003.37221,1343481.762,1277500,0,0,1,0,24,280
