,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,,New_EI_GCO,New_EI_MEF,New_EI_AEF,New_EI_L,RECs,Ratio
34,SA1,2021,2.51009203,28958074.7,60,0.323262539,4647.210797,21.87866099,17.49397869,4.131953544,8.571698725,5641282.854,-49442663.34,0,34506.15978,7128.415112,0,15472.72184,46475.97196,15700.88558,199526.1683,1277500,30821.46941,0,0.4,0,24,,0.657016847,0.525344706,0.124082689,0.25740837,0.811131909,0.460708542
35,SA1,2021,2.47278974,31528916.02,60,0.395921254,4647.210797,17.87306075,14.53213014,2.920315108,7.14008225,7647876.361,-44133696.66,0,28188.68532,8910.51889,0,15472.72184,45530.01343,15633.20991,-220651.4328,1277500,26044.21358,0,0.5,0,24,,0.536728551,0.436400304,0.08769715,0.214416884,0.662627841,0.575885677
36,SA1,2021,2.440384978,34094366.56,60,0.462588878,4647.210797,13.81593775,11.46467444,1.680075912,5.708694489,10091750.06,-39263178.9,0,21789.95121,10692.62267,0,15472.72184,44641.1059,15485.55554,-630878.3744,1277500,21219.87204,0,0.6,0,24,,0.414893026,0.344284518,0.05045273,0.171432267,0.512213612,0.691062812
37,SA1,2021,2.412776003,36664920.41,60,0.526126207,4647.210797,9.732320404,8.510126195,0.446599974,4.277564763,12763583.86,-34621939.8,0,15349.43125,12474.72645,0,15472.72184,44230.37068,15296.13606,-1032571.487,1277500,12347.72084,0,0.7,0,24,,0.292261874,0.255559345,0.013411411,0.128455398,0.360817128,0.806239948
38,SA1,2021,2.389692193,39237985.36,60,0.582674917,4647.210797,5.587952019,5.558838209,-0.838249048,2.846464957,15945727.7,-30491163.63,0,8813.097166,14256.83022,0,15472.72184,43896.59516,15121.11643,-1425943.749,1277500,8309.323177,0,0.8,0,24,,0.167806367,0.166932078,-0.025172644,0.085479428,0.207168354,0.921417083
39,SA1,2021,2.371351412,41837732.85,60,0.638048361,4647.210797,1.434033353,2.581087858,-2.140222611,1.415584118,19212823.1,-26446457.94,0,2261.700751,16038.934,0,15472.72184,45522.2376,14847.08701,-1813397.834,1277500,7860.521324,0,0.9,0,24,,0.043064065,0.077510146,-0.064270949,0.042510034,0.053165512,1.036594218
40,SA1,2021,2.359891031,44563172.34,60,0.681840493,4647.210797,-2.811366537,-0.411696121,-3.532680204,-0.012248073,23314654.58,-23252066.93,-1740.857584,-4433.976236,17821.03778,0,15472.72184,48916.42506,15753.8013,-2202405.632,1277500,6768.239949,0,1,0,24,,-0.084425422,-0.012363247,-0.106086493,-0.00036781,-0.104228915,1.151771354
41,SA1,2021,2.382632134,47314892.1,60,0.699091027,4647.210797,-6.195954938,-2.560174223,-4.698130353,-1.102821477,27638596.49,-22003178.74,-1704323.01,-9772.01535,19603.14156,0,15472.72184,50769.67269,17329.18143,-2529374.93,1277500,6780.339479,0,1.1,0,24,,-0.186064713,-0.076882109,-0.141084996,-0.033117762,-0.229709522,1.266948489
42,SA1,2021,2.408141052,50030503.42,60,0.713247434,4647.210797,-9.514017204,-4.64821787,-5.855472108,-2.164922584,32032848.39,-20970093.99,-3584521.403,-15005.13207,21385.24534,0,15472.72184,50578.27461,18904.56156,-2846867.042,1277500,5997.743245,0,1.2,0,24,,-0.285706222,-0.139586122,-0.175840003,-0.06501269,-0.352723731,1.382125625
43,SA1,2021,2.43569762,52760378.54,60,0.726051287,4647.210797,-12.78041243,-6.668526774,-6.981457659,-3.207474551,36425123.79,-20034928.84,-5567528.696,-20156.76158,23167.34911,0,15472.72184,51194.56648,20479.94168,-3162124.061,1277500,5866.651108,0,1.3,0,24,,-0.383796169,-0.200256059,-0.209653383,-0.096320557,-0.473822431,1.49730276
44,SA1,2021,2.464631908,55475436.88,60,0.737238514,4647.210797,-16.00779599,-8.716186985,-8.10122401,-4.233628239,40852048.46,-19218208.15,-7633124.014,-25246.86343,24949.45289,0,15472.72184,50971.85584,22055.32181,-3473031.613,1277500,5618.069759,0,1.4,0,24,,-0.480714594,-0.261747357,-0.24328,-0.127135983,-0.593474808,1.612479895
45,NSW1,2021,3.721839881,22083312.52,60,0,3828.435209,37.61582677,37.40806398,38.48895443,38.89004775,0,-73061817.64,0,59326.19592,0,0,18781.82497,41881.08546,19168.90157,3321050.016,1277500,0,0,0,0,24,,1.129604408,1.123365285,1.155824457,1.167869302,1.394573343,0
46,NSW1,2021,3.689053255,25299944,60,0.091599874,3828.435209,33.70051789,33.65220517,34.46267648,34.93329,739865.5789,-66368215.53,0,53151.12543,2244.436759,0,18781.82497,39663.5022,19023.87983,2821348.441,1277500,0,0,0.1,0,24,,1.012027564,1.010576732,1.034915209,1.049047748,1.249416746,0.119500462
47,NSW1,2021,3.658090917,28519946.81,60,0.182716323,3828.435209,29.78112606,29.99962348,30.45994019,30.9766857,1515228.8,-59710399.36,0,46969.61548,4488.873518,0,18781.82497,37419.17382,18935.38221,2324726.397,1277500,0,0,0.2,0,24,,0.89432811,0.900889594,0.914712919,0.930230802,1.104108778,0.239000924
