,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,,,Updated AEF
55,TAS1,2021,3.014282415,40533101.99,60,0.897330798,5154.425214,-0.92715742,0.080198689,0.260506595,-0.004866002,7554320.748,-7502518.096,-1694.050129,-1462.276054,16060.72627,0,13950.14905,29228.06829,10955.08413,-353288.5089,1277500,8673.148268,0,1,0,24,,,0.007823021
56,TAS1,2021,3.136259357,43073909.01,60,0.916081835,5154.425214,-3.691991279,-0.766371395,-0.079508933,-0.43853838,10808267.61,-6139661.113,-2609897.089,-5822.862789,17666.7989,0,13950.14905,29080.92766,12238.12671,-461889.702,1277500,7617.116332,0,1.1,0,24,,,-0.002387656
57,TAS1,2021,3.262581221,45609302.77,60,0.932588632,5154.425214,-6.336986323,-1.733572313,-0.453063353,-0.85170252,13999856.48,-4932773.395,-5512510.564,-9994.444478,19272.87152,0,13950.14905,29672.84882,13406.47925,-561589.484,1277500,6725.370872,0,1.2,0,24,,,-0.013605506
58,TAS1,2021,3.391624138,48140063.5,60,0.946628359,5154.425214,-8.912661173,-2.493755198,-0.774584284,-1.251417416,17228316.65,-3905935.413,-8560512.062,-14056.6971,20878.94415,0,13950.14905,30468.70344,14523.68586,-655569.7963,1277500,6560.952873,0,1.3,0,24,,,-0.023260789
59,TAS1,2021,3.522664757,50680128.36,60,0.956243806,5154.425214,-11.45234261,-3.247474353,-1.101507326,-1.640086155,20662735.27,-3202651.406,-11726251.45,-18062.18232,22485.01678,0,13950.14905,31791.4058,15640.89246,-746832.0001,1277500,6111.183445,0,1.4,0,24,,,-0.033078298
60,SA1,2021,2.694720591,18773747.49,60,0,4647.210797,37.62011807,29.56859989,11.42755492,14.2994428,0,-73070152.69,0,59332.96399,0,0,15472.72184,56760.439,15774.54923,1936112.858,1277500,13883.11225,0,0,0,24,,,0.343169817
61,SA1,2021,2.644037523,21310635.33,60,0.08397952,4647.210797,33.71207378,26.50458831,9.837097836,12.86739204,1178596.856,-66930970.18,0,53169.35093,1782.103778,0,15472.72184,53918.98528,15700.88558,1494422.825,1277500,19656.07068,0,0.1,0,24,,,0.295408343
62,SA1,2021,2.596201941,23838863.32,60,0.166411592,4647.210797,29.79029562,23.5169583,8.272520179,11.43526965,2470828.344,-60905056.28,0,46984.07735,3564.207556,0,15472.72184,50253.46989,15700.88558,1059162.282,1277500,27520.03351,0,0.2,0,24,,,0.248424029
63,SA1,2021,2.551376426,26380723.46,60,0.24639982,4647.210797,25.84798323,20.47786946,6.704428885,10.00344067,3941800.177,-55059381.98,0,40766.41799,5346.311334,0,15472.72184,47359.87647,15700.88558,628042.392,1277500,31158.97431,0,0.3,0,24,,,0.201334201
64,SA1,2021,2.51009203,28958074.7,60,0.323262539,4647.210797,21.87866099,17.49397869,5.184501013,8.571698725,5641282.854,-49442663.34,0,34506.15978,7128.415112,0,15472.72184,46475.97196,15700.88558,199526.1683,1277500,30821.46941,0,0.4,0,24,,,0.155690721
65,SA1,2021,2.47278974,31528916.02,60,0.395921254,4647.210797,17.87306075,14.53213014,3.659339468,7.14008225,7647876.361,-44133696.66,0,28188.68532,8910.51889,0,15472.72184,45530.01343,15633.20991,-220651.4328,1277500,26044.21358,0,0.5,0,24,,,0.109890074
66,SA1,2021,2.440384978,34094366.56,60,0.462588878,4647.210797,13.81593775,11.46467444,2.088394436,5.708694489,10091750.06,-39263178.9,0,21789.95121,10692.62267,0,15472.72184,44641.1059,15485.55554,-630878.3744,1277500,21219.87204,0,0.6,0,24,,,0.062714548
67,SA1,2021,2.412776003,36664920.41,60,0.526126207,4647.210797,9.732320404,8.510126195,0.531460601,4.277564763,12763583.86,-34621939.8,0,15349.43125,12474.72645,0,15472.72184,44230.37068,15296.13606,-1032571.487,1277500,12347.72084,0,0.7,0,24,,,0.015959778
68,SA1,2021,2.389692193,39237985.36,60,0.582674917,4647.210797,5.587952019,5.558838209,-1.088175084,2.846464957,15945727.7,-30491163.63,0,8813.097166,14256.83022,0,15472.72184,43896.59516,15121.11643,-1425943.749,1277500,8309.323177,0,0.8,0,24,,,-0.03267793
69,SA1,2021,2.371351412,41837732.85,60,0.638048361,4647.210797,1.434033353,2.581087858,-2.742860946,1.415584118,19212823.1,-26446457.94,0,2261.700751,16038.934,0,15472.72184,45522.2376,14847.08701,-1813397.834,1277500,7860.521324,0,0.9,0,24,,,-0.082368197
70,SA1,2021,2.359891031,44563172.34,60,0.681840493,4647.210797,-2.811366537,-0.411696121,-4.473744467,-0.012248073,23314654.58,-23252066.93,-1740.857584,-4433.976236,17821.03778,0,15472.72184,48916.42506,15753.8013,-2202405.632,1277500,6768.239949,0,1,0,24,,,-0.134346681
71,SA1,2021,2.382632134,47314892.1,60,0.699091027,4647.210797,-6.195954938,-2.560174223,-5.951796729,-1.102821477,27638596.49,-22003178.74,-1704323.01,-9772.01535,19603.14156,0,15472.72184,50769.67269,17329.18143,-2529374.93,1277500,6780.339479,0,1.1,0,24,,,-0.178732635
72,SA1,2021,2.408141052,50030503.42,60,0.713247434,4647.210797,-9.514017204,-4.64821787,-7.414816168,-2.164922584,32032848.39,-20970093.99,-3584521.403,-15005.13207,21385.24534,0,15472.72184,50578.27461,18904.56156,-2846867.042,1277500,5997.743245,0,1.2,0,24,,,-0.222667152
73,SA1,2021,2.43569762,52760378.54,60,0.726051287,4647.210797,-12.78041243,-6.668526774,-8.835798864,-3.207474551,36425123.79,-20034928.84,-5567528.696,-20156.76158,23167.34911,0,15472.72184,51194.56648,20479.94168,-3162124.061,1277500,5866.651108,0,1.3,0,24,,,-0.265339305
74,SA1,2021,2.464631908,55475436.88,60,0.737238514,4647.210797,-16.00779599,-8.716186985,-10.26889231,-4.233628239,40852048.46,-19218208.15,-7633124.014,-25246.86343,24949.45289,0,15472.72184,50971.85584,22055.32181,-3473031.613,1277500,5618.069759,0,1.4,0,24,,,-0.308375145
