,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval
22,QLD1,2023,4.8993827115809,63771696.64105599,60,1.0,4056.947545636441,-0.0,0.0,0.0,-0.0,0.0,0.0,-10670518.76466676,-0.0,12105.396903454375,22508.522643728353,17723.916612463476,3830.6332343362737,0,0.0,1277499.999999958,0.0,0,0,0,720
23,QLD1,2023,4.029591582161872,63972419.3960907,60,1.0,4868.675922200756,-0.0,0.0,0.0,-0.0,0.0,0.0,-3941007.354697284,-0.0,20925.169472392674,12537.549124605954,18229.045371662847,0.0,0,0.0,1576799.9999999735,0.0,0,0,0,8760
24,TAS1,2023,4.333968449247131,70417759.46026973,60,1.0,4715.036627185428,-0.0,0.0,0.0,-0.0,0.0,0.0,-19734030.18606288,-0.0,21607.015349745117,7877.06784423431,18823.03814439224,19480.20611938412,0,0.0,1576800.0,1846.3541809419821,0,0,0,1
25,TAS1,2023,4.315381964129278,70292257.49633726,60,1.0,4948.198008986476,-0.0,0.0,0.0,-0.0,0.0,0.0,-18825287.24292528,-0.0,20588.882779788415,10449.552075543237,17936.087869671894,18344.796859676,0,0.0,1576799.9999999697,1595.2511734069521,0,0,0,24
26,TAS1,2023,4.032933685851298,51714222.26641817,60,1.0,4183.32655177873,-0.0,0.0,0.0,-0.0,0.0,0.0,-16873050.31184299,-0.0,19730.694929193523,0.0,17188.47407918175,9042.556786733843,0,0.0,1277500.0000000563,0.0,0,0,0,720
27,TAS1,2023,3.0575175244163084,47164358.10546851,60,1.0,5150.710434177999,-0.0,0.0,0.0,-0.0,0.0,0.0,-1.5646416750299972e-10,-0.0,19779.381908597243,0.0,17230.88793670059,0.0,0,0.0,1576800.0000001076,0.0,0,0,0,8760
28,SA1,2023,4.3892975614917535,72329384.98940907,60,0.9999999999999989,5491.607268961464,-0.0,0.0,0.0,-0.0,0.0,0.0,-15244531.64473086,-0.0,18551.557638510993,15297.335230737757,16161.263895788497,21159.848420581347,0,0.0,1576800.0,704.3728443699285,0,0,0,1
29,SA1,2023,4.379733585216779,72067449.0679136,60,0.9999999999999999,5522.752976215873,-0.0,0.0,0.0,-0.0,0.0,0.0,-16431538.364644438,-0.0,18446.935652735538,16145.352194014466,16070.122032966769,19290.601891061655,0,0.0,1576799.9999999644,1528.449621010024,0,0,0,24
30,SA1,2023,3.9600167093531,51394395.114332944,60,1.0,5056.103468082353,-0.0,0.0,0.0,-0.0,0.0,0.0,-10003441.950599052,-0.0,16324.812279533664,8374.402390913338,14221.425738994065,5941.06670508991,0,0.0,1277500.000000005,0.0,0,0,0,720
31,SA1,2023,3.383542674669711,52319991.4964021,60,1.0,4643.157318399709,-0.0,0.0,0.0,-0.0,0.0,0.0,3.353544525042647e-10,-0.0,21941.506994492724,0.0,19114.43188323822,0.0,0,0.0,1576799.9999999525,0.0,0,0,0,8760
32,NSW1,2023,4.648161452580622,74587062.2064869,60,0.9999999999999999,3894.7241612999715,-0.0,0.0,0.0,-0.0,0.0,0.0,-2733271.3614708586,-0.0,28096.762503363854,0.0,22787.57380756138,106792.08477787086,0,0.0,1576800.0,74179.66929617748,0,0,0,1
33,NSW1,2023,4.6392755463925335,74411734.99199995,60,1.0,3890.419624557546,-0.0,0.0,0.0,-0.0,0.0,0.0,-2480462.6983266147,-0.0,28030.3282860085,0.0,22812.78701286869,105591.71208914675,0,0.0,1576799.999999995,73601.92225675723,0,0,0,24
34,NSW1,2023,5.926488719703956,79259531.74578299,60,1.0,4077.2714508981635,-0.0,0.0,0.0,-0.0,0.0,0.0,-22935268.583595727,-0.0,20243.915808979844,18735.78677426314,17635.568508483888,19288.40084050344,0,0.0,1277500.0000000042,0.0,0,0,0,720
35,NSW1,2023,4.174996053693903,64918258.98401815,60,0.9999999999999972,3797.6369959565127,-0.0,0.0,0.0,-0.0,0.0,0.0,-934446.2750820825,-0.0,27479.256297129486,0.0,23370.141585468362,0.0,0,0.0,1576800.000000006,0.0,0,0,0,8760
36,VIC1,2023,5.269905245256289,86856777.28059077,60,1.0,4630.018271984958,-0.0,0.0,0.0,-0.0,0.0,0.0,-22120585.99288541,-0.0,24161.576367976137,18053.867346963576,19168.674737791935,21278.354359545523,0,0.0,1576800.0,2366.9697252962924,0,0,0,1
37,VIC1,2023,5.2392646691500335,86240433.00455351,60,1.0,4614.5559891386865,-0.0,0.0,0.0,-0.0,0.0,0.0,-22059856.16348541,-0.0,24306.995403894824,17643.337773373958,19232.90442127194,20434.244876400076,0,0.0,1576799.9999999763,1793.7999885398517,0,0,0,24
38,VIC1,2023,5.113989685569554,67278883.18413724,60,1.0,4374.956261132306,-0.0,0.0,0.0,-0.0,0.0,0.0,-19190617.618357237,-0.0,19768.48999067599,15033.824782738751,16435.592885537077,7946.661928788395,0,0.0,1277499.9999999765,0.0,0,0,0,720
39,VIC1,2023,3.8642658585644125,59921958.69666599,60,1.0,4054.1056517342054,-0.0,0.0,0.0,-0.0,0.0,0.0,-1.8723953374913713e-10,-0.0,25129.5544640334,0.0,21891.712231956313,0.0,0,0.0,1576800.0000000985,0.0,0,0,0,8760
