,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Supply_ratio,Maximum_power_integration
13,QLD1,2021,3.522789189,54905884.62,60,0.923968102,4759.51064,-1.261822258,-0.324855291,-0.673062606,-0.531393745,6569072.892,-5639133.838,-1319582.689,-1990.096216,17627.95325,9116.027925,15583.11465,94612.11372,4674.934396,-1367670.771,1277500,6390.098417,24,0,1,24,-1,0.3
14,QLD1,2021,3.44497834,53006045.71,60,0.887928253,5020.873148,-1.07841077,0.029133039,-0.253815195,-0.078940023,8450282.391,-8312137.351,-706745.0089,-1700.826862,18140.27491,7490.414521,14771.93265,99315.4206,4431.579796,-1232611.952,1277500,0,720,0,1,24,-1,0.3
15,QLD1,2021,3.411423722,51959849.66,60,0.881001704,5009.933258,-1.052057002,0.024450823,-0.195686743,5.14E-13,8825865.643,-8825865.643,-684709.6093,-1659.262741,18992.23702,5921.603837,14804.18924,67581.84908,4441.256771,-1170325.685,1277500,0,8759,0,1,24,-1,0.3
16,QLD1,2021,3.495016114,58219899.61,60,1,4635.918983,-3.029880962,-1.837329221,-2.619676991,-2.73063346,4778608.555,0,-2174845.858,-4778.608555,18097.90709,10749.59915,15998.55396,99462.19702,6399.421584,-1873932.605,1277500,4986.525058,1,0,1,24,-1,0.4
17,QLD1,2021,3.36742554,55179589.48,60,0.910601611,4847.825794,-1.560950002,-0.40922007,-0.849929418,-0.69447699,7845834.433,-6630499.701,-1472125.775,-2461.868676,17306.81642,9904.251865,15299.22962,90930.79139,6119.69185,-1685475.906,1277500,5963.075204,24,0,1,24,-1,0.4
18,QLD1,2021,3.274891355,53113420.99,60,0.873262277,5130.031091,-1.236622089,0.082856469,-0.293812696,-0.104670525,9583056.855,-9399883.437,-601470.806,-1950.351504,17304.45972,8916.133487,14457.61218,90749.9933,5783.044873,-1555120.712,1277500,0,720,0,1,24,-1,0.4
19,QLD1,2021,3.243216801,52007115.49,60,0.868519627,5230.282108,-1.162410318,0.089702213,-0.188849133,3.98E-13,9751636.335,-9751636.335,-712300.2757,-1833.307631,17662.12277,8254.870933,14180.49705,58391.96431,5672.19882,-1468447.216,1277500,0,8759,0,1,24,-1,0.4
20,QLD1,2021,3.388921226,59027316.34,60,1,4753.768562,-3.648162317,-2.227515215,-3.150610337,-3.287849989,5753737.481,0,-2664611.674,-5753.737481,17649.24606,12295.65288,15601.9375,95521.87811,7800.96875,-2164678.807,1277500,4229.472947,1,0,1,24,-1,0.5
21,QLD1,2021,3.259266796,55615584.26,60,0.905033186,4988.190297,-1.961037329,-0.54596848,-1.134916275,-1.010681633,8812191.499,-7043498.641,-1809873.171,-3092.870602,16819.81361,11217.94603,14868.71903,86699.80317,7434.359515,-1929507.291,1277500,5221.617363,24,0,1,24,-1,0.5
22,QLD1,2021,3.153965638,53003802.19,60,0.857062374,5282.670643,-1.37324186,0.173549008,-0.291075103,-0.098720008,10774157.86,-10601397.85,-635469.2017,-2165.82281,16883.31077,9662.649919,14039.86828,86166.40437,7019.934141,-1751666.899,1277500,0,720,0,1,24,-1,0.5
23,QLD1,2021,3.121372212,52069328.83,60,0.85373049,5280.53042,-1.293160212,0.138528661,-0.216652189,5.63E-13,10848517.01,-10848517.01,-632436.1221,-2039.521198,17471.60307,8545.371758,14045.5587,55442.55654,7022.779352,-1700310.113,1277500,0,8759,0,1,24,-1,0.5
24,QLD1,2021,3.314624331,59857455.5,60,1,4864.346838,-4.246997165,-2.616254029,-3.664647508,-3.827540655,6698196.146,0,-3201223.657,-6698.196146,17248.03634,13767.4164,15247.26802,91622.49843,9148.360815,-2399797.147,1277500,3607.757703,1,0,1,24,-1,0.6
25,QLD1,2021,3.184822106,56125250.77,60,0.900434394,5017.49868,-2.273252958,-0.655136207,-1.361113021,-1.255419066,9581565.235,-7384581.869,-1973102.351,-3585.284757,16721.56514,11697.67836,14781.86737,85811.08996,8869.120419,-2132124.411,1277500,4901.731393,24,0,1,24,-1,0.6
26,QLD1,2021,3.069761573,53000171.95,60,0.842248078,5359.331026,-1.54856357,0.212904518,-0.343101343,-0.138689201,11942850.69,-11700144.59,-697133.1826,-2442.333285,17026.71388,9481.273705,13839.04066,86545.30547,8303.424399,-1900885.555,1277500,0,720,0,1,24,-1,0.6
27,QLD1,2021,3.033498634,51648763.66,60,0.832626003,5434.19937,-1.479743748,0.155647201,-0.245727002,1.32E-12,12413794.57,-12413794.57,-778224.3597,-2333.79338,17823.52489,8007.863714,13648.37669,50565.65067,8189.026013,-1796029.868,1277500,0,8759,0,1,24,-1,0.6
28,QLD1,2021,3.253431822,60612089.47,60,1,4855.876504,-4.69869914,-2.899860677,-4.055110055,-4.234630089,7410602.656,0,-3320416.282,-7410.602656,17278.12291,14148.60329,15273.86455,92489.0117,10691.70519,-2613765.419,1277500,3387.258871,1,0,1,24,-1,0.7
29,QLD1,2021,3.124533325,56591736.16,60,0.896853229,5047.455003,-2.537438661,-0.73370921,-1.54848906,-1.46497848,10213902.08,-7650189.741,-2129196.21,-4001.948012,16622.32372,12143.31968,14694.13793,84937.20263,10285.89655,-2302041.404,1277500,4609.498973,24,0,1,24,-1,0.7
30,QLD1,2021,3.005434082,53281201.34,60,0.836815658,5388.809094,-1.577948125,0.340882966,-0.313601887,-0.121887351,12316359.14,-12103056.28,-816022.445,-2488.677444,16727.87499,10048.92279,13763.33782,83885.2778,9634.336474,-2054306.218,1277500,0,720,0,1,24,-1,0.7
